32.79140999,-116.3857537,Posta Creek, La,0
32.60892713,-116.4843989,Campo Creek,0,
32.81158828,-116.7297282,Sweetwater River,0,
32.96960044,-116.7395423,San Diego River,1,
32.59385183,-117.1146385,Otay River,0,
32.61080364,-116.9257643,Otay River,0,
32.6245952,-116.8963601,Jamul Creek,1,
32.62803124,-116.8979057,Jamul Creek,1,
32.67914539,-116.6705793,Cottonwood Creek,0,
32.68559701,-116.5473925,Cottonwood Creek,0,
32.69210692,-117.0081534,Sweetwater River,0,
32.7296139,-116.5415249,Morena Creek,0,
32.73667519,-116.5423301,Long Valley,2,
32.74007076,-116.5631612,Morena Creek,1,
32.74049212,-116.9281828,Sweetwater River,0,
32.78190941,-116.7935134,Sweetwater River,0,
32.82947995,-116.9842655,Forester Creek,1,
32.83293833,-116.5468986,Pine Valley Creek,1,
32.83803508,-116.5382892,Pine Valley Creek,1,
32.88559102,-116.809127,San Diego River,0,
32.91233782,-116.925147,San Vincente Creek,0,
32.95066622,-117.0509326,Surr Creek,0,
32.98984766,-116.5868877,Boulder Creek,0,
33.48585249,-117.2675073,South Fork De Luz Creek,2,
33.00246245,-117.1152422,Lusardi Creek,0,
33.25859887,-116.799266,Wigham Creek,0,
33.20345283,-117.3048673,Loma Alta Creek,1,
33.31304969,-117.003233,San Luis Rey River,1,
33.32321267,-116.7963069,West Fork San Luis Rey River,2,
33.36989442,-117.0806432,Pala Creek,0,
33.44983645,-117.4223357,North Fork San Onofre Canyon,0,
33.04516409,-117.1287771,San Dieguito River,0,
33.46053714,-117.2892778,South Fork De Luz Creek,0,
33.59306785,-117.476219,San Juan Creek,0,
33.68279471,-117.5160489,Holy Jim Creek,0,
33.69343825,-117.5142478,Holy Jim Creek,0,
33.0728048,-117.1629119,Escondido Creek,0,
33.09394408,-116.9410665,Santa Ysabel Creek,1,
33.10933814,-117.2088991,San Marcos Creek,0,
33.1182005,-116.7864823,Santa Ysabel Creek,0,
33.12701903,-116.8036929,Black Canyon Creek,1,
33.14128347,-116.9574939,Rockwood Canyon,1,
33.14786603,-116.9589496,Rockwood Canyon,1,
33.16775479,-117.0046676,Escondido Creek,0,
33.17250104,-116.7872824,Scholder Creek,2,
33.17909984,-117.3404945,Buena Vista Creek,1,
33.2059219,-117.2851517,Loma Alta Creek,1,
33.24039334,-117.3225611,San Luis Rey River,1,
33.2419513,-116.7618837,San Luis Rey River,0,
33.24992757,-116.7888763,San Luis Rey River,3,
33.25060393,-117.2989837,San Luis Rey River,1,
33.25835495,-117.2619315,San Luis Rey River,1,
33.25902713,-116.8092181,Prisoner Creek,3,
33.25972381,-116.8970142,San Luis Rey River,2,
33.26651001,-116.8920095,San Luis Rey River,0,
33.27723928,-117.3047315,Pilgrim Creek,0,
33.28850328,-116.5952336,Canada Verde,0,
33.30102238,-116.9831479,San Luis Rey River,1,
33.30893022,-117.1360831,Keys Creek,2,
33.31008291,-116.7781786,West Fork San Luis Rey River,3,
33.31711272,-117.1692947,San Luis Rey River,1,
33.32323609,-116.9975551,Pauma Creek,0,
33.33939008,-116.9678458,Pauma Creek,1,
33.33953687,-116.9661684,Pauma Creek,0,
33.33972043,-116.9546005,Pauma Creek,2,
33.33976565,-116.9638968,Pauma Creek,3,
33.34121217,-117.1269731,San Luis Rey River,1,
33.34863068,-117.0277164,San Luis Rey River,1,
33.35043086,-117.0136163,Frey Creek,0,
33.36004626,-117.0146749,Aqua Tibia Creek,0,
33.39281997,-117.111693,Gomez Creek,0,
33.40754358,-117.1842889,Rainbow Creek,2,
33.41008897,-117.3829187,San Onofre Creek,2,
33.41422184,-117.241179,Santa Margarita River,1,
33.41446114,-117.2447796,Santa Margarita River,0,
33.41942322,-117.5480713,San Mateo Creek,1,
33.42534135,-117.5278883,San Mateo Creek,1,
33.43403144,-117.2504668,Sandia Creek,3,
33.43403144,-117.2504668,Sandia Creek,3,
33.4347239,-117.2507646,Sandia Creek,3,
33.4414085,-117.3238574,De Luz Creek,1,
33.44336184,-117.31999,South Fork De Luz Creek,1,
33.45470598,-117.2514564,Sandia Creek,0,
33.4563878,-117.2960744,South Fork De Luz Creek,1,
33.46193911,-117.2517251,Sandia Creek,0,
33.46456009,-117.4513996,Devils Canyon,3,
33.47029189,-117.2690354,South Fork De Luz Creek,0,
33.47402162,-117.1423355,Santa Margarita River,0,
33.4814274,-117.3084355,De Luz Creek,3,
33.48767342,-117.2553529,Sandia Creek,0,
33.49030025,-117.3011499,De Luz Creek,2,
33.49146295,-117.6640557,San Juan Creek,1,
33.49595695,-116.9769838,Temecula Creek,0,
33.50855694,-117.6582711,Horno Creek,0,
33.52025414,-117.6714734,Trabuco Creek,0,
33.52287099,-117.6189981,San Juan Creek,1,
33.52638136,-117.6699173,Trabuco Creek,1,
33.52760438,-117.6698664,Trabuco Creek,0,
33.53504667,-117.5528767,San Juan Creek,1,
33.55439572,-117.3957282,San Mateo Canyon,2,
33.5698875,-117.8114736,Moro Canyon,1,
33.5819041,-117.0714299,Tucalota Creek,0,
33.5902992,-117.5019385,San Juan Creek,1,
33.59035652,-117.5019079,San Juan Creek,0,
33.59047268,-117.5018459,San Juan Creek,0,
33.59053054,-117.501815,San Juan Creek,0,
